id,task_type,human_label,confidence,is_borderline,annotator_id,language
amb_029,ambiguous,unsafe,2,True,user1,ru
amb_030,ambiguous,safe,1,True,user1,ru
mul_001,multilingual,safe,3,False,user1,ru
mul_002,multilingual,safe,3,False,user1,ru
mul_003,multilingual,unsafe,3,False,user1,ru
mul_004,multilingual,unsafe,3,False,user1,ru
mul_005,multilingual,safe,3,False,user1,ru
mul_006,multilingual,unsafe,3,False,user1,ru
mul_007,multilingual,safe,3,False,user1,mixed
mul_008,multilingual,unsafe,3,False,user1,mixed
mul_009,multilingual,safe,3,False,user1,mixed
mul_010,multilingual,unsafe,2,True,user1,mixed
mul_011,multilingual,safe,3,False,user1,en
mul_012,multilingual,unsafe,3,False,user1,en
mul_013,multilingual,safe,3,False,user1,en
mul_014,multilingual,unsafe,3,False,user1,en
mul_015,multilingual,safe,3,False,user1,en
mul_016,multilingual,unsafe,3,False,user1,en
mul_017,multilingual,unsafe,3,False,user1,ru
mul_018,multilingual,safe,3,False,user1,ru
mul_019,multilingual,safe,3,False,user1,mixed
mul_020,multilingual,safe,3,False,user1,mixed
